対象日付,コード,銘柄名,株価換算係数,業種,セクター
"2025/08/01","1332","ニッスイ","1.0","水産","消費"
"2025/08/01","1605","ＩＮＰＥＸ","0.4","鉱業","素材"
"2025/08/01","1721","コムシスホールディングス","1.0","建設","資本財・その他"
"2025/08/01","1801","大成建設","0.2","建設","資本財・その他"
"2025/08/01","1802","大林組","1.0","建設","資本財・その他"
"2025/08/01","1803","清水建設","1.0","建設","資本財・その他"
"2025/08/01","1808","長谷工コーポレーション","0.2","建設","資本財・その他"
"2025/08/01","1812","鹿島建設","0.5","建設","資本財・その他"
"2025/08/01","1925","大和ハウス工業","1.0","建設","資本財・その他"
"2025/08/01","1928","積水ハウス","1.0","建設","資本財・その他"
"2025/08/01","1963","日揮ホールディングス","1.0","建設","資本財・その他"
"2025/08/01","2002","日清製粉グループ本社","1.0","食品","消費"
"2025/08/01","2269","明治ホールディングス","0.4","食品","消費"
"2025/08/01","2282","日本ハム","0.5","食品","消費"
"2025/08/01","2413","エムスリー","2.4","サービス","消費"
"2025/08/01","2432","ディー・エヌ・エー","0.3","サービス","消費"
"2025/08/01","2501","サッポロホールディングス","0.2","食品","消費"
"2025/08/01","2502","アサヒグループホールディングス","3.0","食品","消費"
"2025/08/01","2503","キリンホールディングス","1.0","食品","消費"
"2025/08/01","2768","双日","0.1","商社","素材"
"2025/08/01","2801","キッコーマン","5.0","食品","消費"
"2025/08/01","2802","味の素","2.0","食品","消費"
"2025/08/01","2871","ニチレイ","1.0","食品","消費"
"2025/08/01","2914","日本たばこ産業","1.0","食品","消費"
"2025/08/01","3086","Ｊ．フロントリテイリング","0.5","小売業","消費"
"2025/08/01","3092","ＺＯＺＯ","3.0","小売業","消費"
"2025/08/01","3099","三越伊勢丹ホールディングス","1.0","小売業","消費"
"2025/08/01","3289","東急不動産ホールディングス","1.0","不動産","資本財・その他"
"2025/08/01","3382","セブン＆アイ・ホールディングス","3.0","小売業","消費"
"2025/08/01","3401","帝人","0.2","繊維","素材"
"2025/08/01","3402","東レ","1.0","繊維","素材"
"2025/08/01","3405","クラレ","1.0","化学","素材"
"2025/08/01","3407","旭化成","1.0","化学","素材"
"2025/08/01","3436","ＳＵＭＣＯ","0.1","非鉄・金属","素材"
"2025/08/01","3659","ネクソン","2.0","サービス","消費"
"2025/08/01","3861","王子ホールディングス","1.0","パルプ・紙","素材"
"2025/08/01","4004","レゾナック・ホールディングス","0.1","化学","素材"
"2025/08/01","4005","住友化学","1.0","化学","素材"
"2025/08/01","4021","日産化学","1.0","化学","素材"
"2025/08/01","4042","東ソー","0.5","化学","素材"
"2025/08/01","4043","トクヤマ","0.2","化学","素材"
"2025/08/01","4061","デンカ","0.2","化学","素材"
"2025/08/01","4063","信越化学工業","5.0","化学","素材"
"2025/08/01","4151","協和キリン","1.0","医薬品","技術"
"2025/08/01","4183","三井化学","0.2","化学","素材"
"2025/08/01","4188","三菱ケミカルグループ","0.5","化学","素材"
"2025/08/01","4208","ＵＢＥ","0.1","化学","素材"
"2025/08/01","4307","野村総合研究所","1.0","サービス","消費"
"2025/08/01","4324","電通グループ","1.0","サービス","消費"
"2025/08/01","4385","メルカリ","1.0","サービス","消費"
"2025/08/01","4452","花王","1.0","化学","素材"
"2025/08/01","4502","武田薬品工業","1.0","医薬品","技術"
"2025/08/01","4503","アステラス製薬","5.0","医薬品","技術"
"2025/08/01","4506","住友ファーマ","1.0","医薬品","技術"
"2025/08/01","4507","塩野義製薬","3.0","医薬品","技術"
"2025/08/01","4519","中外製薬","3.0","医薬品","技術"
"2025/08/01","4523","エーザイ","1.0","医薬品","技術"
"2025/08/01","4543","テルモ","8.0","精密機器","技術"
"2025/08/01","4568","第一三共","3.0","医薬品","技術"
"2025/08/01","4578","大塚ホールディングス","1.0","医薬品","技術"
"2025/08/01","4661","オリエンタルランド","1.0","サービス","消費"
"2025/08/01","4689","ＬＩＮＥヤフー","0.4","サービス","消費"
"2025/08/01","4704","トレンドマイクロ","1.0","サービス","消費"
"2025/08/01","4751","サイバーエージェント","0.8","サービス","消費"
"2025/08/01","4755","楽天グループ","1.0","サービス","消費"
